Column1,Candidate,Constituency,Party,CriminalCase,Education,TotalAssets,Liabilities,,,,,,,,
1,Godam Nagesh,Adilabad,T,0,Post Graduate,10378857,148784,,,,,,,,
2,Dr. Ramshankar Katheria,Agra,BJP,21,Doctorate,14634885,4035000,,,,,,,,
3,Paresh Dahyalal Rawal,Ahmadabad (East),BJP,0,12th Pass,795211576,81472461,,,,,,,,
4,Dr. Solanki Kiritbhai Premjibhai,Ahmadabad (West),BJP,0,Post Graduate,34085266,208007,,,,Row Labels,Count of Education,,,
5,Gandhi Dilipkumar Mansukhlal,Ahmadnagar,BJP,16,10th Pass,65316725,34176876,,,,10th Pass,48,,Illiterate,
6,Sanwar Lal Jat,Ajmer,BJP,0,Doctorate,18064656,0,,,,12th Pass,57,,Literate,
7,Devendra Singh Urf Bhole Singh,Akbarpur,BJP,0,10th Pass,28546617,559965,,,,5th Pass,6,,5th Pass,
8,Dhotre Sanjay Shyamrao,Akola,BJP,3,Graduate Professional,48501735,6928458,,,,8th Pass,9,,8th Pass,
9,K C Venugopal,Alappuzha,INC,0,Post Graduate,12856075,456010,,,,Doctorate,33,,10th Pass,
10,P.K.Biju,Alathur,CPI(M),0,Post Graduate,3231047,341749,,,,Graduate,117,,12th Pass,
11,Satish Kumar,Aligarh,BJP,1,10th Pass,52180006,754800,,,,Graduate Professional,106,,Graduate,
12,Dasrath Tirkey,Alipurduars,AITC,0,Graduate,3550353,293909,,,,Illiterate,1,,Graduate Professional,
13,Shyama Charan Gupta,Allahabad,BJP,0,Graduate Professional,472851707,0,,,,Literate,5,,Post Graduate,
14,Ajay Tamta,Almora,BJP,0,12th Pass,6366653,2757846,,,,Othe,10,,Doctorate,
15,Mahant Chand Nath Yogi,Alwar,BJP,0,Graduate,199653,0,,,,Post Graduate,150,,Others,
16,Pandula Ravindra Babu,Amlapuram,TDP,0,Graduate Professional,27131000,3000000,,,,(blank),,,,
17,Rattan Lal Kataria,Ambala,BJP,0,Post Graduate,42150634,843229,,,,Grand Total,542,,,
18,Hariom,Ambedkar Nagar,BJP,0,Post Graduate,15318114,0,,,,,,,,
19,Rahul Gandhi,Amethi,INC,0,Post Graduate,94006549,1800000,,,,,,,,
20,Adsul Anandrao Vithoba,Amravati,SHS,1,Graduate,32596257,1587104,,,,Row Labels,Count of Party,,,
21,Kachhadiya Naranbhai Bhikhabhai,Amreli,BJP,2,12th Pass,34164801,4971590,,,,AAP,4,,AAP,4
22,Captain Amarinder Singh,Amritsar,INC,3,Graduate,863564071,4853456,,,,AIADMK,37,,AIADMK,37
23,Kanwar Singh Tanwar,Amroha,BJP,0,5th Pass,1788430770,4036151,,,,AITC,34,,AITC,34
24,Muttamsetti Srinivasa Rao,Anakapalli,TDP,1,Illiterate,213294327,64899193,,,,AIUDF,3,,AIUDF,3
25,Patel Dilipbhai Manibhai,Anand,BJP,4,10th Pass,75998610,7632620,,,,All India Majlis-E-Ittehadul Muslimeen,1,,All India Majlis-E-Ittehadul Muslimeen,1
26,Prem Singh Chandumajra,Anandpur Sahib,SAD,0,Post Graduate,141599902,2248200,,,,All India N.R. Congress,1,,All India N.R. Congress,1
27,Jutur Chinna Reddy Divakar Reddy,Anantapur,TDP,0,12th Pass,226481020,3265000,,,,Apna Dal,2,,Apna Dal,2
28,Mehbooba Mufti,Anantnag,JKPDP,1,Graduate Professional,5200000,0,,,,BJD,20,,BJD,20
29,Bishnu Pada Ray,Andaman & Nicobar Islands,BJP,1,Graduate,5658980,175115,,,,BJP,281,,BJP,281
30,Dharmendra Kumar,Aonla,BJP,0,10th Pass,5364652,0,,,,CPI,1,,CPI,1
31,Hari G,Arakkonam,AIADMK,4,Post Graduate,32966706,0,,,,CPI(M),9,,CPI(M),9
32,Kothapalli Geetha,Araku,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,65147467,43261606,,,,INC,44,,INC,44
33,Aparupa Poddar (Afrin Ali),Arambag,AITC,0,Post Graduate,3271869,200000,,,,IND,3,,IND,3
34,V.Elumalai,Arani,AIADMK,0,Graduate Professional,70492462,25000,,,,INLD,2,,INLD,2
35,Taslim Uddin,Araria,RJD,4,Literate,42368468,1026919,,,,IUML,2,,IUML,2
36,Raj Kumar Singh,Arrah,BJP,0,Graduate Professional,48403293,0,,,,JD(S),2,,JD(S),2
37,Ninong Ering,Arunachal East,INC,0,Graduate,88065000,0,,,,JD(U),2,,JD(U),2
38,Kiren Rijiju,Arunachal West,BJP,0,Graduate Professional,12539868,475000,,,,JKPDP,3,,JKPDP,3
39,Babul Supriya Boral (Babul Supriyo),Asansol,BJP,0,Graduate,75289537,14748456,,,,JMM,2,,JMM,2
40,Ladu Kishore Swain,Aska,BJD,0,Graduate,3488390,25000,,,,KC(M),1,,KC(M),1
41,A Sampath,Attingal,CPI(M),1,Doctorate,17791149,1421392,,,,LJP,6,,LJP,6
42,Chandrakant Bhaurao Khaire,Aurangabad,SHS,8,12th Pass,90614560,20307244,,,,NCP,6,,NCP,6
43,Sushil Kumar Singh,Aurangabad,BJP,5,Post Graduate,127845854,7321626,,,,NPF,1,,NPF,1
44,Biren Singh Engti,Autonomous District,INC,0,Post Graduate,35367390,0,,,,NPP,1,,NPP,1
45,Mulayam Singh Yadav,Azamgarh,SP,0,Post Graduate,159671544,0,,,,P,1,,P,1
46,Dharmandra Yadav,Budaun,SP,0,Post Graduate,24987715,8950291,,,,PMK,1,,PMK,1
47,P.C. Gaddigoudar,Bagalkot,BJP,0,Graduate Professional,36362500,9589199,,,,Rashtriya Lok Samta Party,3,,Rashtriya Lok Samta Party,3
48,Dr. Satyapal Singh,Baghpat,BJP,0,Doctorate,67402076,352000,,,,RJD,4,,RJD,4
49,Adhir Ranjan Chowdhury,Baharampur,INC,16,10th Pass,81465854,0,,,,SAD,4,,SAD,4
50,Savitri Bai Foole,Bahraich,BJP,8,Graduate,1121491,538145,,,,SDF,1,,SDF,1
51,Bodhsingh Bhagat,Balaghat,BJP,0,Graduate,24959436,1393732,,,,SHS,18,,SHS,18
52,Rabindra Kumar Jena,Baleshwar,BJD,0,Post Graduate,570139716,55893020,,,,SP,5,,SP,5
53,Bharat Singh,Ballia,BJP,3,Graduate,21130089,1102553,,,,Swabhimani Paksha,1,,Swabhimani Paksha,1
54,Arpita Ghosh,Balurghat,AITC,0,Graduate,544790,0,,,,T,11,,T,11
55,Chaudhry Haribhai Parthibhai,Banas Kantha,BJP,0,Graduate,15773564,0,,,,TDP,16,,TDP,16
56,Bhairon Prasad Mishra,Banda,BJP,3,12th Pass,50034910,600000,,,,Yuvajana Sramika Rythu Congress Party,9,,Yuvajana Sramika Rythu Congress Party,9
57,P.C. Mohan,Bangalore Central,BJP,2,12th Pass,475796999,261111285,,,,Grand Total,542,,,
58,D.V. Sadananda Gowda,Bangalore North,BJP,0,Graduate Professional,98888874,37020152,,,,,,,,
59,D.K.Suresh,Bangalore Rural,INC,8,12th Pass,858713138,184854756,,,,,,,,
60,Ananth Kumar,Bangalore South,BJP,0,Graduate Professional,45224706,2883233,,,,,,,,
61,Kapil Krishna Thakur,Bangaon,AITC,0,Graduate,9667890,0,,,,,,,,
62,Jaiprakash Narayan Yadav,Banka,RJD,2,Post Graduate,27846274,791539,,,,,,,,
63,Sreemati Dev Varma (Moon Moon Sen),Bankura,AITC,0,Post Graduate,15314000,1013000,,,,,,,,
64,Kamlesh Paswan,Bansgaon,BJP,0,Graduate,101640625,14568500,,,,,,,,
65,Manshankar Ninama,Banswara,BJP,0,8th Pass,4040285,870146,,,,,,,,
66,Malyadri Sriram,Bapatla,TDP,0,Post Graduate,45359744,0,,,,,,,,
67,Priyanka Singh Rawat,Barabanki,BJP,0,Post Graduate,13175500,1450000,,,,,,,,
68,Supriya Sule,Baramati,NCP,0,Graduate,1139090851,0,,,,,,,,
69,Muzaffar Hussain Baig,Baramula,JKPDP,0,Post Graduate,200707183,11401285,,,,,,,,
70,Dr. Kakali Ghoshdostidar,Barasat,AITC,0,Graduate Professional,31254311,1168220,,,,,,,,
71,Sunil Kumar Mondal,Barddhaman Purba,AITC,0,Graduate Professional,11841000,1420000,,,,,,,,
72,Mamtaz Sanghamita,Barddhaman - Durgapur,AITC,0,Post Graduate,107680000,0,,,,,,,,
73,Parbhubhai Nagarbhai Vasava,Bardoli,BJP,1,Othe,15909957,1353400,,,,,,,,
74,Santosh Gangwar,Bareilly,BJP,0,Graduate Professional,38602862,1777215,,,,,,,,
75,Prabhas Kumar Singh,Bargarh,BJD,0,Doctorate,5786971,670000,,,,,,,,
76,Col. Sona Ram,Barmer,BJP,1,Graduate Professional,174678454,5584331,,,,,,,,
77,Siraj Uddin Ajmal,Barpeta,AIUDF,0,Graduate,670806607,0,,,,,,,,
78,Dinesh Trivedi,Barakpur,AITC,0,Post Graduate,53582340,15661349,,,,,,,,
79,Idris Ali,Basirhat,AITC,9,Graduate Professional,9800277,0,,,,,,,,
80,Dinesh Kashyap,Bastar,BJP,1,Post Graduate,16108199,2191216,,,,,,,,
81,Harish Chandra,Basti,BJP,2,Post Graduate,5350882,860185,,,,,,,,
82,Haimrat Kaur Badal,Bathinda,SAD,0,10th Pass,1081664910,412634299,,,,,,,,
83,Munde Gopinathrao Pandurang,Beed,BJP,3,Graduate Professional,380072890,335729817,,,,,,,,
84,Bhola Singh,Begusarai,BJP,0,Doctorate,25248102,0,,,,,,,,
85,Suresh Angadi,Belgaum,BJP,1,Graduate Professional,417003065,366283849,,,,,,,,
86,B Sreeramulu,Bellary,BJP,8,Graduate,151392844,4050947,,,,,,,,
87,Sidhant Mohapatra,Berhampur.,BJD,0,Graduate,16462430,1183828,,,,,,,,
88,Jyoti Dhurve,Betul,BJP,2,Post Graduate,26232000,1000000,,,,,,,,
89,Virendra Singh,Sant Ravi Das Nagar (Bhadohi),BJP,0,Graduate,11531458,791186,,,,,,,,
90,Arjun Charan Sethi,Bhadrak,BJD,0,Post Graduate,6730000,2424000,,,,,,,,
91,Shailesh Kumar Urph Bulo Mandal,Bhagalpur,RJD,1,12th Pass,20216734,0,,,,,,,,
92,Nanabhau Falgunrao Patole,Bhandara - Gondiya,BJP,5,Graduate,12738190,0,,,,,,,,
93,Bahadur Singh,Bharatpur,BJP,0,Literate,19142363,1333100,,,,,,,,
94,Mansukhbhai Dhanjibhai Vasava,Bharuch,BJP,0,Post Graduate,6571062,639000,,,,,,,,
95,Shyal Bhartiben Dhirubhai,Bhavnagar,BJP,0,Graduate Professional,7748925,3072058,,,,,,,,
96,Subhash Chandra Baheria,Bhilwara,BJP,0,Graduate,142870042,8665902,,,,,,,,
97,Bhagirath Prasad,Bhind,BJP,0,Doctorate,21240286,3687610,,,,,,,,
98,Kapil Moreshwar Patil,Biwandi,BJP,0,Graduate,363758831,10697367,,,,,,,,
99,Dharambir,Bhiwani - Mahendragarh,BJP,0,Graduate,50057200,4530000,,,,,,,,
100,Dr. Naaiah Boora,Bhongir,T,0,Post Graduate,202983225,13574088,,,,,,,,
101,Alok Sanjar,Bhopal,BJP,0,Graduate Professional,14594066,300000,,,,,,,,
102,"Prasanna Kumar Patasani,",Bhubaneswar,BJD,0,Post Graduate,13557443,9590067,,,,,,,,
103,Bhagwanth,Bidar,BJP,0,Graduate Professional,56559290,16829000,,,,,,,,
104,Ramesh Jigajinagi,Bijapur,BJP,2,Graduate,89429828,5305043,,,,,,,,
105,Kunwar Bhartendra,Bijnor,BJP,2,Post Graduate,24840646,0,,,,,,,,
106,Arjun Ram Meghwal,Bikaner,BJP,0,Post Graduate,18142863,1216408,,,,,,,,
107,Lakhanlal Sau S/O Kalyan Lal Sahu,Bilaspur,BJP,0,Post Graduate,8661133,306357,,,,,,,,
108,Satabdi Roy(Banerjee),Birbhum,AITC,0,Graduate,54972174,5478944,,,,,,,,
109,Saumitra Khan,Bishnupur,AITC,1,12th Pass,1197255,0,,,,,,,,
110,Kalikesh Narayan Singh Deo,Bolangir,BJD,2,Graduate,87955818,24410449,,,,,,,,
111,Anupam Hazra,Bolpur,AITC,0,Doctorate,4866883,0,,,,,,,,
112,Dr. Bhola Singh,Bulandshahr,BJP,0,Graduate,12577537,0,,,,,,,,
113,Jadhav Prataprao Ganpatrao,Buldana,SHS,2,12th Pass,36033147,684092,,,,,,,,
114,Ashwini Kumar Choubey,Buxar,BJP,0,Graduate,22094499,1923552,,,,,,,,
115,Innocent,Chalakudy,IND,0,8th Pass,54474761,1303000,,,,,,,,
116,R. Dhruvanarayana,Chamrajnagar,INC,0,Post Graduate,31519950,2605818,,,,,,,,
117,Mahendra Nath,Chandauli,BJP,0,Doctorate,26489505,1114000,,,,,,,,
118,Smt. Kirron Kher,Chandigarh,BJP,0,Post Graduate,335343871,1886187,,,,,,,,
119,Dr. Hah Vardhan,Chandni Chowk,BJP,2,Post Graduate,28229308,1780492,,,,,,,,
120,Ahir Hansraj Gangaram,Chandrapur,BJP,11,10th Pass,15548000,99500,,,,,,,,
121,Sunil Kumar Singh,Chatra,BJP,0,Post Graduate,174744806,950052,,,,,,,,
122,S.R. Vijayakumar,Chennai Central,AIADMK,0,Graduate Professional,13401510,350483,,,,,,,,
123,Venkatesh Babu .T.G,Chennai North,AIADMK,0,Post Graduate,37038275,804032,,,,,,,,
