Candidate,Education,PC_CODE
Kaushal Yadav,Post Graduate,39
Kiran Sharma,8th Pass,69
M. Aamir Rashadi,Others,69
Rakesh Kumar Giri,Graduate Professional,63
(Kuppal)G.Devadoss,8th Pass,3
(Maj Gen (Retd.) ) Bhuwan Chandra Khanduri (Avsm),Graduate Professional,2
A Biju,8th Pass,9
A N Radhakrishnan,Graduate,12
A Nelson,12th Pass,31
A P Jithender Reddy,Graduate,11
A Pandian,12th Pass,1
A Prasad,10th Pass,28
A Sampath,Doctorate,19
A Thavamani,Illiterate,32
A Vijayaraghavan,Graduate Professional,5
A. Devadas,10th Pass,9
A. Irudayadass,Graduate,3
A. Jaiganesh,Graduate,3
A. Josekutty,10th Pass,18
A. Magesh,Graduate,3
A. P. Shamseer,Literate,3
A. Raghunath Varma,Post Graduate,20
A. Shadhick Batcha,Post Graduate,24
A.Arunmozhithevan,Graduate Professional,26
A.Baskar,10th Pass,26
A.Ganesan,8th Pass,12
A.Govindasamy,8th Pass,14
A.Hamid Sh. Habib,8th Pass,2
A.K. Aggarwal,10th Pass,77
A.K. Aggarwal,10th Pass,2
A.K. Mohan,10th Pass,7
A.K.Moorthy,Post Graduate,12
A.K.Parashurama Kotemallur,12th Pass,13
A.K.Perumal,Post Graduate,14
A.K.Salahudeen,12th Pass,18
A.K.Sheikdavood,Graduate,18
A.Kannan,8th Pass,32
A.Krishnappa,Graduate,19
A.M.H. Nazeem,12th Pass,1
A.M.Smitha,Graduate,3
A.Mahadevan,12th Pass,12
A.Mogheeth Khan,Graduate,18
A.P. Ahamad,Illiterate,16
A.Ponnusamy,Literate,18
A.R. Krishna Murthy,Post Graduate,22
A.Ramesh,10th Pass,13
A.S.Dsilva,Graduate,19
A.Shajahan,Graduate Professional,14
A.T. Dadakhalandar,10th Pass,13
A.V.Thamarakshan,Post Graduate,15
Aaftab Alam Khan,Graduate Professional,62
"Aaron Rashid, J.M.",12th Pass,33
Aasutosh Verma,Graduate Professional,6
Aayar Muljibhai Khanabhai,10th Pass,8
Ab Hamid Malik,Graduate Professional,1
Abanindra Nath Baidya,10th Pass,20
